Institution code (UKPRN)	Institution name	Institution sort order	Main panel	Unit of assessment number	Unit of assessment name	Multiple submission letter	Multiple submission name	Joint submission	Profile	FTE Category A staff submitted	4*	3*	2*	1*	unclassified
H-0167	University of Edinburgh	42	B	7	Earth Systems & Environmental Sciences				Overall	77.14	15	55	25	5	0
H-0167	University of Edinburgh	42	B	8	Chemistry				Overall	43.89	30	40	30	0	0
H-0167	University of Edinburgh	42	B	9	Physics				Overall	60.5	20	45	30	5	0
H-0167	University of Edinburgh	42	B	10	Mathematical Sciences				Overall	59	15	45	35	5	0
H-0167	University of Edinburgh	42	B	11	Computer Science & Informatics				Overall	104.25	35	50	15	0	0
H-0167	University of Edinburgh	42	B	15	General Engineering				Overall	87.39	15	40	45	0	0
H-0167	University of Edinburgh	42	C	16	Architecture, Built Environment & Planning				Overall	18	25	45	25	5	0
H-0167	University of Edinburgh	42	C	17	Geography, Environmental Studies & Archaeology				Overall	36.8	20	35	30	15	0
H-0167	University of Edinburgh	42	C	18	Economics & Econometrics				Overall	18	25	45	30	0	0
H-0167	University of Edinburgh	42	C	19	Business & Management Studies				Overall	52.65	10	40	35	15	0
H-0167	University of Edinburgh	42	C	20	Law				Overall	48.74	30	25	35	10	0
H-0167	University of Edinburgh	42	C	21	Politics & International Studies				Overall	30	10	45	25	20	0
H-0167	University of Edinburgh	42	C	22	Social Work & Social Policy				Overall	43.9	30	35	25	10	0
H-0167	University of Edinburgh	42	C	23	Sociology				Overall	46.3	30	25	35	10	0
H-0167	University of Edinburgh	42	C	24	Anthropology & Development Studies				Overall	18	25	35	25	10	5
H-0167	University of Edinburgh	42	C	25	Education				Overall	84.97	15	30	30	20	5
H-0167	University of Edinburgh	42	D	27	Area Studies				Overall	15	10	25	25	30	10
H-0167	University of Edinburgh	42	D	28	Modern Languages				Overall	88	20	30	30	15	5
H-0167	University of Edinburgh	42	D	29	English Language & Literature				Overall	33.61	40	30	25	5	0
H-0167	University of Edinburgh	42	D	30	History				Overall	60.98	25	35	25	10	5
H-0167	University of Edinburgh	42	D	31	Classics				Overall	18	10	35	45	10	0
H-0167	University of Edinburgh	42	D	32	Philosophy				Overall	17	20	45	30	5	0
H-0167	University of Edinburgh	42	D	33	Theology & Religious Studies				Overall	30	30	30	25	15	0
H-0167	University of Edinburgh	42	D	34	Art & Design: History, Practice, Theory				Overall	16	15	45	40	0	0
H-0167	University of Edinburgh	42	D	35	Music, Drama, Dance, Performing Arts				Overall	14.9	20	45	20	15	0
H-0096	Edinburgh College of Art	43	C	16	Architecture, Built Environment & Planning				Overall	13.6	25	45	25	5	0
H-0096	Edinburgh College of Art	43	D	34	Art & Design: History, Practice, Theory				Overall	45.82	10	35	20	25	10
H-0118	University of Essex	44	A	4	Psychology, Psychiatry & Neuroscience				Overall	22	10	45	40	5	0
H-0118	University of Essex	44	A	5	Biological Sciences				Overall	30.9	5	35	45	10	5
H-0118	University of Essex	44	B	11	Computer Science & Informatics				Overall	31	15	50	30	5	0
H-0118	University of Essex	44	B	13	Elec Engineering, Metallurgy & Materials				Overall	11.45	20	40	30	10	0
H-0118	University of Essex	44	C	18	Economics & Econometrics				Overall	34.31	40	55	5	0	0
H-0118	University of Essex	44	C	19	Business & Management Studies				Overall	30.5	10	45	40	5	0
H-0118	University of Essex	44	C	20	Law				Overall	25.3	5	45	40	10	0
H-0118	University of Essex	44	C	21	Politics & International Studies				Overall	28.95	45	30	20	5	0
H-0118	University of Essex	44	C	23	Sociology				Overall	43.7	35	25	30	10	0
H-0118	University of Essex	44	D	28	Modern Languages				Overall	16	25	35	25	15	0
H-0118	University of Essex	44	D	29	English Language & Literature				Overall	19	10	45	40	5	0
H-0118	University of Essex	44	D	30	History				Overall	13.36	35	35	25	5	0
H-0118	University of Essex	44	D	32	Philosophy				Overall	8.2	20	55	20	5	0
H-0118	University of Essex	44	D	34	Art & Design: History, Practice, Theory				Overall	7.35	25	50	15	10	0
H-0119	University of Exeter	45	A	1	Clinical Medicine				Overall	20.96	5	60	25	10	0
H-0119	University of Exeter	45	A	2	Public Health, Health Services & Primary Care				Overall	16.1	5	45	45	5	0
H-0119	University of Exeter	45	A	4	Psychology, Psychiatry & Neuroscience				Overall	33.53	15	40	35	10	0
H-0119	University of Exeter	45	A	5	Biological Sciences				Overall	48.83	10	40	40	10	0
H-0119	University of Exeter	45	B	9	Physics				Overall	28	15	45	35	5	0
H-0119	University of Exeter	45	B	10	Mathematical Sciences				Overall	23	10	50	40	0	0
H-0119	University of Exeter	45	B	11	Computer Science & Informatics				Overall	6	15	50	25	5	5
H-0119	University of Exeter	45	B	15	General Engineering				Overall	38.53	5	30	35	25	5
H-0119	University of Exeter	45	C	17	Geography, Environmental Studies & Archaeology				Overall	51.3	15	50	30	5	0
H-0119	University of Exeter	45	C	18	Economics & Econometrics				Overall	13.5	20	55	25	0	0
H-0119	University of Exeter	45	C	19	Business & Management Studies				Overall	43.25	15	45	30	10	0
H-0119	University of Exeter	45	C	20	Law				Overall	26	10	35	30	25	0
H-0119	University of Exeter	45	C	21	Politics & International Studies				Overall	29.5	20	35	30	15	0
H-0119	University of Exeter	45	C	23	Sociology				Overall	18.72	20	35	40	5	0
H-0119	University of Exeter	45	C	25	Education				Overall	23.83	20	40	30	10	0
H-0119	University of Exeter	45	C	26	Sport & Exercise Sciences, Leisure & Tourism				Overall	26	10	25	40	25	0
H-0119	University of Exeter	45	D	27	Area Studies				Overall	18	15	25	40	15	5
H-0119	University of Exeter	45	D	28	Modern Languages				Overall	41.33	15	35	35	10	5
H-0119	University of Exeter	45	D	29	English Language & Literature				Overall	44	45	20	25	10	0
H-0119	University of Exeter	45	D	30	History				Overall	39.73	20	40	35	5	0
H-0119	University of Exeter	45	D	31	Classics				Overall	18	30	30	30	10	0
H-0119	University of Exeter	45	D	33	Theology & Religious Studies				Overall	11.79	10	40	35	15	0
H-0119	University of Exeter	45	D	35	Music, Drama, Dance, Performing Arts				Overall	16	35	40	20	5	0
H-0017	University College Falmouth	46	D	34	Art & Design: History, Practice, Theory				Overall	17.05	5	25	55	15	0
H-0090	University of Glamorgan	47	A	3	Allied Health, Dentistry, Nursing & Pharmacy				Overall	26.6	0	0	5	55	40
H-0090	University of Glamorgan	47	A	4	Psychology, Psychiatry & Neuroscience				Overall	12.7	0	10	25	55	10
H-0090	University of Glamorgan	47	A	5	Biological Sciences				Overall	4	0	10	30	55	5
H-0090	University of Glamorgan	47	B	10	Mathematical Sciences				Overall	4	0	20	45	30	5
H-0090	University of Glamorgan	47	B	11	Computer Science & Informatics				Overall	22.45	5	35	40	20	0
H-0090	University of Glamorgan	47	B	15	General Engineering				Overall	9.85	5	55	35	5	0
H-0090	University of Glamorgan	47	C	16	Architecture, Built Environment & Planning				Overall	6.2	10	40	35	10	5
H-0090	University of Glamorgan	47	C	19	Business & Management Studies				Overall	27.1	5	10	50	35	0
H-0090	University of Glamorgan	47	C	20	Law				Overall	6.8	0	15	30	55	0
H-0090	University of Glamorgan	47	C	22	Social Work & Social Policy				Overall	18.1	5	40	50	5	0
H-0090	University of Glamorgan	47	C	25	Education				Overall	6.75	0	20	35	35	10
H-0090	University of Glamorgan	47	C	26	Sport & Exercise Sciences, Leisure & Tourism				Overall	9.5	5	15	30	40	10
H-0090	University of Glamorgan	47	D	29	English Language & Literature				Overall	15	15	25	50	5	5
H-0090	University of Glamorgan	47	D	30	History				Overall	6	10	40	45	5	0
H-0090	University of Glamorgan	47	D	35	Music, Drama, Dance, Performing Arts				Overall	15.4	5	25	45	25	0
H-0090	University of Glamorgan	47	D	36	Comm, Cultural & Media Studies, Library & Info Mgt				Overall	8	10	20	45	25	0
H-0168	University of Glasgow	48	A	1	Clinical Medicine				Overall	166.85	15	45	30	10	0
H-0168	University of Glasgow	48	A	2	Public Health, Health Services & Primary Care				Overall	22.7	10	45	40	5	0
H-0168	University of Glasgow	48	A	3	Allied Health, Dentistry, Nursing & Pharmacy				Overall	19.6	15	45	30	10	0
H-0168	University of Glasgow	48	A	4	Psychology, Psychiatry & Neuroscience				Overall	39.9	20	40	40	0	0
H-0168	University of Glasgow	48	A	5	Biological Sciences				Overall	78.6	15	40	35	10	0
H-0168	University of Glasgow	48	A	6	Agriculture, Veterinary & Food Science				Overall	74.9	5	50	35	10	0
H-0168	University of Glasgow	48	B	7	Earth Systems & Environmental Sciences				Overall	36	5	50	35	10	0
H-0168	University of Glasgow	48	B	8	Chemistry				Overall	25	10	60	25	5	0
H-0168	University of Glasgow	48	B	9	Physics				Overall	45.75	20	40	35	5	0
H-0168	University of Glasgow	48	B	10	Mathematical Sciences				Overall	48.32	10	40	40	10	0
H-0168	University of Glasgow	48	B	11	Computer Science & Informatics				Overall	30	30	50	20	0	0
H-0168	University of Glasgow	48	B	12	Aero, Mech, Chem & Manufacturing Engineering				Overall	34	10	35	40	15	0
H-0168	University of Glasgow	48	B	13	Elec Engineering, Metallurgy & Materials				Overall	37.5	20	45	30	5	0
H-0168	University of Glasgow	48	B	14	Civil and Construction Engineering				Overall	14	15	40	20	20	5
H-0168	University of Glasgow	48	C	16	Architecture, Built Environment & Planning				Overall	17.39	15	45	35	5	0
H-0168	University of Glasgow	48	C	17	Geography, Environmental Studies & Archaeology				Overall	35.86	10	40	35	15	0
H-0168	University of Glasgow	48	C	18	Economics & Econometrics				Overall	20.8	25	50	25	0	0
H-0168	University of Glasgow	48	C	19	Business & Management Studies				Overall	37.15	10	45	30	15	0
H-0168	University of Glasgow	48	C	20	Law				Overall	37.95	15	40	35	10	0
H-0168	University of Glasgow	48	C	21	Politics & International Studies				Overall	20	15	30	30	20	5
H-0168	University of Glasgow	48	C	22	Social Work & Social Policy				Overall	4	5	35	45	15	0
H-0168	University of Glasgow	48	C	23	Sociology				Overall	27.5	10	30	35	25	0
H-0168	University of Glasgow	48	C	25	Education				Overall	62.3	10	20	35	30	5
H-0168	University of Glasgow	48	D	27	Area Studies				Overall	9	5	35	45	10	5
H-0168	University of Glasgow	48	D	28	Modern Languages				Overall	35.5	10	35	30	20	5
H-0168	University of Glasgow	48	D	29	English Language & Literature				Overall	49.83	35	35	20	10	0
H-0168	University of Glasgow	48	D	30	History				Overall	41	25	35	30	10	0
H-0168	University of Glasgow	48	D	31	Classics				Overall	8.2	10	15	50	20	5
H-0168	University of Glasgow	48	D	32	Philosophy				Overall	12.5	5	50	45	0	0
H-0168	University of Glasgow	48	D	33	Theology & Religious Studies				Overall	16.5	10	35	35	15	5
H-0168	University of Glasgow	48	D	34	Art & Design: History, Practice, Theory				Overall	18.42	45	40	15	0	0
H-0168	University of Glasgow	48	D	35	Music, Drama, Dance, Performing Arts				Overall	27.25	35	30	25	10	0
H-0168	University of Glasgow	48	D	36	Comm, Cultural & Media Studies, Library & Info Mgt				Overall	6.4	25	30	35	10	0
H-0106	Glasgow Caledonian University	49	A	3	Allied Health, Dentistry, Nursing & Pharmacy				Overall	48.41	15	45	30	10	0
H-0106	Glasgow Caledonian University	49	A	4	Psychology, Psychiatry & Neuroscience				Overall	18.7	0	10	40	50	0
H-0106	Glasgow Caledonian University	49	B	10	Mathematical Sciences				Overall	1	5	5	30	60	0
H-0106	Glasgow Caledonian University	49	B	11	Computer Science & Informatics				Overall	8	0	15	55	25	5
H-0106	Glasgow Caledonian University	49	B	15	General Engineering				Overall	10	0	20	50	20	10
H-0106	Glasgow Caledonian University	49	C	16	Architecture, Built Environment & Planning				Overall	12.3	15	45	25	15	0
H-0106	Glasgow Caledonian University	49	C	19	Business & Management Studies				Overall	24	0	25	50	20	5
H-0106	Glasgow Caledonian University	49	C	20	Law				Overall	4.5	0	15	30	45	10
H-0106	Glasgow Caledonian University	49	C	23	Sociology				Overall	11.2	5	5	35	45	10
H-0106	Glasgow Caledonian University	49	C	25	Education				Overall	6.9	0	25	50	25	0
H-0106	Glasgow Caledonian University	49	D	30	History				Overall	7	10	25	40	20	5
H-0106	Glasgow Caledonian University	49	D	36	Comm, Cultural & Media Studies, Library & Info Mgt				Overall	5.9	10	15	70	5	0
H-0097	Glasgow School of Art	50	D	34	Art & Design: History, Practice, Theory				Overall	76.85	25	25	20	25	5
H-0054	University of Gloucestershire	51	A	4	Psychology, Psychiatry & Neuroscience				Overall	7	0	10	30	45	15
H-0054	University of Gloucestershire	51	C	16	Architecture, Built Environment & Planning				Overall	5.4	5	35	45	15	0
H-0054	University of Gloucestershire	51	C	17	Geography, Environmental Studies & Archaeology				Overall	12	0	15	45	35	5
H-0054	University of Gloucestershire	51	C	19	Business & Management Studies				Overall	13.8	0	10	35	40	15
H-0054	University of Gloucestershire	51	C	22	Social Work & Social Policy				Overall	4.6	0	10	35	50	5
H-0054	University of Gloucestershire	51	C	25	Education				Overall	5.6	10	15	40	20	15
H-0054	University of Gloucestershire	51	C	26	Sport & Exercise Sciences, Leisure & Tourism				Overall	7.2	0	10	30	50	10
H-0054	University of Gloucestershire	51	D	29	English Language & Literature				Overall	9	5	30	40	25	0
H-0054	University of Gloucestershire	51	D	30	History				Overall	10	5	20	40	30	5
H-0054	University of Gloucestershire	51	D	33	Theology & Religious Studies				Overall	4	0	40	45	10	5
H-0054	University of Gloucestershire	51	D	34	Art & Design: History, Practice, Theory				Overall	11.46	5	5	60	25	5
H-0054	University of Gloucestershire	51	D	36	Comm, Cultural & Media Studies, Library & Info Mgt				Overall	4	0	0	20	80	0
H-0087	Glyndwr University	52	A	3	Allied Health, Dentistry, Nursing & Pharmacy				Overall	5.8	0	25	30	30	15
H-0087	Glyndwr University	52	B	11	Computer Science & Informatics				Overall	3.2	5	35	50	10	0
H-0087	Glyndwr University	52	B	13	Elec Engineering, Metallurgy & Materials				Overall	6.8	5	30	35	30	0
H-0087	Glyndwr University	52	C	22	Social Work & Social Policy				Overall	3	0	20	40	35	5
H-0087	Glyndwr University	52	C	25	Education				Overall	5.7	0	5	20	35	40
H-0087	Glyndwr University	52	D	34	Art & Design: History, Practice, Theory				Overall	2.3	0	5	40	55	0
H-0131	Goldsmiths College, University of London	53	A	3	Allied Health, Dentistry, Nursing & Pharmacy				Overall	4.5	0	0	15	40	45
H-0131	Goldsmiths College, University of London	53	A	4	Psychology, Psychiatry & Neuroscience				Overall	26.85	10	40	40	10	0
H-0131	Goldsmiths College, University of London	53	B	11	Computer Science & Informatics				Overall	21.2	20	40	30	10	0
H-0131	Goldsmiths College, University of London	53	C	21	Politics & International Studies				Overall	16.4	10	20	45	20	5
H-0131	Goldsmiths College, University of London	53	C	22	Social Work & Social Policy				Overall	6.8	10	25	45	20	0
H-0131	Goldsmiths College, University of London	53	C	23	Sociology				Overall	32.6	35	25	30	10	0
H-0131	Goldsmiths College, University of London	53	C	24	Anthropology & Development Studies				Overall	16.7	25	30	30	15	0
H-0131	Goldsmiths College, University of London	53	C	25	Education				Overall	17.7	10	20	30	35	5
H-0131	Goldsmiths College, University of London	53	D	29	English Language & Literature				Overall	29.05	15	50	25	5	5
H-0131	Goldsmiths College, University of London	53	D	30	History				Overall	13	10	20	45	15	10
H-0131	Goldsmiths College, University of London	53	D	34	Art & Design: History, Practice, Theory				Overall	52.7	20	35	35	10	0
H-0131	Goldsmiths College, University of London	53	D	35	Music, Drama, Dance, Performing Arts				Overall	29.7	30	40	20	10	0
H-0131	Goldsmiths College, University of London	53	D	36	Comm, Cultural & Media Studies, Library & Info Mgt				Overall	21.7	45	35	15	5	0
H-0059	University of Greenwich	54	A	3	Allied Health, Dentistry, Nursing & Pharmacy				Overall	16.1	5	20	30	35	10
H-0059	University of Greenwich	54	A	4	Psychology, Psychiatry & Neuroscience				Overall	7	0	15	45	35	5
H-0059	University of Greenwich	54	A	6	Agriculture, Veterinary & Food Science				Overall	24.45	5	25	50	20	0
H-0059	University of Greenwich	54	B	10	Mathematical Sciences				Overall	2	0	40	40	20	0
H-0059	University of Greenwich	54	B	11	Computer Science & Informatics				Overall	16.8	0	20	50	30	0
H-0059	University of Greenwich	54	B	12	Aero, Mech, Chem & Manufacturing Engineering				Overall	5.5	30	40	25	5	0
H-0059	University of Greenwich	54	B	14	Civil and Construction Engineering				Overall	8	5	30	30	30	5
H-0059	University of Greenwich	54	B	15	General Engineering				Overall	14.6	0	20	40	20	20
H-0059	University of Greenwich	54	C	16	Architecture, Built Environment & Planning				Overall	10	10	30	40	10	10
H-0059	University of Greenwich	54	C	19	Business & Management Studies				Overall	22.6	5	15	40	30	10
H-0059	University of Greenwich	54	C	20	Law				Overall	7	0	5	40	45	10
H-0059	University of Greenwich	54	C	21	Politics & International Studies				Overall	1	0	0	40	45	15
H-0059	University of Greenwich	54	C	24	Anthropology & Development Studies				Overall	14.25	0	25	40	30	5
H-0059	University of Greenwich	54	C	25	Education				Overall	5.3	5	5	45	40	5
H-0059	University of Greenwich	54	D	28	Modern Languages				Overall	1	0	20	40	35	5
H-0059	University of Greenwich	54	D	29	English Language & Literature				Overall	5.75	0	25	25	45	5
H-0059	University of Greenwich	54	D	30	History				Overall	12.4	10	25	45	20	0
H-0059	University of Greenwich	54	D	36	Comm, Cultural & Media Studies, Library & Info Mgt				Overall	7	0	10	45	45	0
H-0208	Guildhall School of Music & Drama	55	D	35	Music, Drama, Dance, Performing Arts				Overall	14.92	10	25	30	25	10
H-0018	Harper Adams University College	56	A	6	Agriculture, Veterinary & Food Science				Overall	18.4	0	25	45	30	0
H-0171	Heriot-Watt University	57	A	4	Psychology, Psychiatry & Neuroscience				Overall	9.2	0	5	30	65	0
H-0171	Heriot-Watt University	57	A	6	Agriculture, Veterinary & Food Science				Overall	12.7	5	35	35	25	0
H-0171	Heriot-Watt University	57	B	7	Earth Systems & Environmental Sciences				Overall	10.9	0	25	55	20	0
H-0171	Heriot-Watt University	57	B	8	Chemistry				Overall	19	10	40	50	0	0
H-0171	Heriot-Watt University	57	B	9	Physics				Overall	19.5	15	40	40	5	0
H-0171	Heriot-Watt University	57	B	10	Mathematical Sciences				Overall	47.46	10	40	40	10	0
H-0171	Heriot-Watt University	57	B	11	Computer Science & Informatics				Overall	20.1	15	45	30	10	0
H-0171	Heriot-Watt University	57	B	12	Aero, Mech, Chem & Manufacturing Engineering				Overall	11.4	10	35	40	15	0
H-0171	Heriot-Watt University	57	B	14	Civil and Construction Engineering				Overall	18	5	50	35	10	0
H-0171	Heriot-Watt University	57	B	15	General Engineering				Overall	73.3	20	45	30	5	0
H-0171	Heriot-Watt University	57	C	16	Architecture, Built Environment & Planning				Overall	39.2	20	30	35	10	5
H-0171	Heriot-Watt University	57	C	19	Business & Management Studies				Overall	36.23	10	35	40	15	0
H-0171	Heriot-Watt University	57	C	26	Sport & Exercise Sciences, Leisure & Tourism				Overall	8.2	10	15	35	30	10
H-0171	Heriot-Watt University	57	D	27	Area Studies				Overall	13.2	10	20	40	30	0
H-0171	Heriot-Watt University	57	D	34	Art & Design: History, Practice, Theory				Overall	10.65	15	35	20	15	15
H-0060	University of Hertfordshire	58	A	3	Allied Health, Dentistry, Nursing & Pharmacy				Overall	27.22	5	30	40	25	0
H-0060	University of Hertfordshire	58	A	4	Psychology, Psychiatry & Neuroscience				Overall	17	5	25	55	15	0
H-0060	University of Hertfordshire	58	B	9	Physics				Overall	28	15	40	35	10	0
H-0060	University of Hertfordshire	58	B	11	Computer Science & Informatics				Overall	25	10	45	40	5	0
H-0060	University of Hertfordshire	58	B	15	General Engineering				Overall	4	15	35	30	15	5
H-0060	University of Hertfordshire	58	C	19	Business & Management Studies				Overall	12.4	5	30	45	15	5
H-0060	University of Hertfordshire	58	C	22	Social Work & Social Policy				Overall	3.7	0	15	55	30	0
H-0060	University of Hertfordshire	58	C	25	Education				Overall	5.7	0	20	35	35	10
H-0060	University of Hertfordshire	58	D	29	English Language & Literature				Overall	6	10	35	45	5	5
H-0060	University of Hertfordshire	58	D	30	History				Overall	9	25	45	30	0	0
H-0060	University of Hertfordshire	58	D	32	Philosophy				Overall	7.8	0	35	55	10	0
H-0060	University of Hertfordshire	58	D	34	Art & Design: History, Practice, Theory				Overall	5.1	10	50	25	15	0
H-0060	University of Hertfordshire	58	D	35	Music, Drama, Dance, Performing Arts				Overall	3.7	5	10	40	40	5
H-0205	Heythrop College	59	D	32	Philosophy				Overall	7	0	5	50	35	10
H-0205	Heythrop College	59	D	33	Theology & Religious Studies				Overall	16.5	0	10	40	40	10
H-0061	University of Huddersfield	60	B	8	Chemistry				Overall	10	0	25	50	25	0
H-0061	University of Huddersfield	60	B	11	Computer Science & Informatics				Overall	6	5	20	50	25	0
H-0061	University of Huddersfield	60	B	15	General Engineering				Overall	10	5	30	55	10	0
H-0061	University of Huddersfield	60	C	19	Business & Management Studies				Overall	2	0	30	50	15	5
H-0061	University of Huddersfield	60	C	21	Politics & International Studies				Overall	7	0	0	25	55	20
H-0061	University of Huddersfield	60	C	22	Social Work & Social Policy				Overall	16.8	10	35	40	15	0
H-0061	University of Huddersfield	60	C	23	Sociology				Overall	9	0	25	25	45	5
H-0061	University of Huddersfield	60	C	25	Education				Overall	7	5	10	50	30	5
H-0061	University of Huddersfield	60	D	29	English Language & Literature				Overall	10.51	5	15	50	30	0
H-0061	University of Huddersfield	60	D	30	History				Overall	8.75	5	40	45	10	0
H-0061	University of Huddersfield	60	D	35	Music, Drama, Dance, Performing Arts				Overall	12.6	20	55	20	5	0
H-0061	University of Huddersfield	60	D	36	Comm, Cultural & Media Studies, Library & Info Mgt				Overall	3.75	0	0	15	70	15
H-0120	University of Hull	61	A	3	Allied Health, Dentistry, Nursing & Pharmacy				Overall	30.6	20	40	30	5	5
H-0120	University of Hull	61	A	4	Psychology, Psychiatry & Neuroscience				Overall	20.7	5	30	45	20	0
H-0120	University of Hull	61	A	5	Biological Sciences				Overall	11.8	5	10	55	30	0
H-0120	University of Hull	61	B	8	Chemistry				Overall	26	5	45	45	5	0
H-0120	University of Hull	61	B	15	General Engineering				Overall	25.6	0	40	55	5	0
H-0120	University of Hull	61	C	17	Geography, Environmental Studies & Archaeology				Overall	24.9	15	40	35	10	0
H-0120	University of Hull	61	C	19	Business & Management Studies				Overall	60.6	5	40	40	15	0
H-0120	University of Hull	61	C	20	Law				Overall	23.5	5	40	40	15	0
H-0120	University of Hull	61	C	21	Politics & International Studies				Overall	21.2	10	25	40	20	5
H-0120	University of Hull	61	C	22	Social Work & Social Policy				Overall	30.8	10	30	45	15	0
H-0120	University of Hull	61	C	25	Education				Overall	18.1	5	20	45	25	5
H-0120	University of Hull	61	C	26	Sport & Exercise Sciences, Leisure & Tourism				Overall	11	0	10	35	55	0
H-0120	University of Hull	61	D	29	English Language & Literature				Overall	34.3	10	45	35	10	0
H-0120	University of Hull	61	D	30	History				Overall	29.7	15	50	25	10	0
H-0120	University of Hull	61	D	32	Philosophy				Overall	10	5	30	45	20	0
H-0120	University of Hull	61	D	35	Music, Drama, Dance, Performing Arts				Overall	17.9	5	35	40	20	0
H-0132	Imperial College London	62	A	1	Clinical Medicine				Overall	392.32	30	45	20	5	0
H-0132	Imperial College London	62	A	2	Public Health, Health Services & Primary Care				Overall	32.95	40	30	30	0	0
H-0132	Imperial College London	62	A	4	Psychology, Psychiatry & Neuroscience				Overall	55.1	10	50	30	10	0
H-0132	Imperial College London	62	A	5	Biological Sciences				Overall	92.3	20	45	25	10	0
H-0132	Imperial College London	62	B	8	Chemistry				Overall	53.1	20	55	25	0	0
H-0132	Imperial College London	62	B	9	Physics				Overall	126.8	20	45	25	10	0
H-0132	Imperial College London	62	B	10	Mathematical Sciences				Overall	72.9	20	45	30	5	0
H-0132	Imperial College London	62	B	11	Computer Science & Informatics				Overall	53.4	35	50	15	0	0
H-0132	Imperial College London	62	B	12	Aero, Mech, Chem & Manufacturing Engineering				Overall	105	30	50	15	5	0
H-0132	Imperial College London	62	B	13	Elec Engineering, Metallurgy & Materials				Overall	71	20	35	40	5	0
H-0132	Imperial College London	62	B	14	Civil and Construction Engineering				Overall	49.4	40	55	5	0	0
H-0132	Imperial College London	62	B	15	General Engineering				Overall	67.7	25	45	30	0	0
H-0132	Imperial College London	62	C	19	Business & Management Studies				Overall	47.6	35	50	15	0	0
H-0132	Imperial College London	62	D	30	History				Overall	5	40	40	20	0	0
H-0188	Institute of Cancer Research	63	A	1	Clinical Medicine				Overall	65.51	35	40	25	0	0
H-0188	Institute of Cancer Research	63	A	5	Biological Sciences				Overall	31	40	45	15	0	0
H-0133	Institute of Education	64	C	25	Education				Overall	218.03	35	30	25	10	0
H-7003	Institute of Zoology	65	A	5	Biological Sciences				Overall	21	10	40	45	5	0
H-0121	Keele University	66	A	1	Clinical Medicine				Overall	14.4	0	15	45	40	0
H-0121	Keele University	66	A	2	Public Health, Health Services & Primary Care				Overall	16.5	15	25	45	15	0
H-0121	Keele University	66	A	4	Psychology, Psychiatry & Neuroscience				Overall	14.2	0	25	45	25	5
H-0121	Keele University	66	B	9	Physics				Overall	10	5	35	40	20	0
H-0121	Keele University	66	B	10	Mathematical Sciences				Overall	9	15	45	35	5	0
H-0121	Keele University	66	B	15	General Engineering				Overall	43.8	10	40	40	10	0
H-0121	Keele University	66	C	19	Business & Management Studies				Overall	38.4	10	35	35	15	5
H-0121	Keele University	66	C	20	Law				Overall	25.6	10	40	35	15	0
H-0121	Keele University	66	C	21	Politics & International Studies				Overall	29.75	10	20	50	15	5
H-0121	Keele University	66	C	22	Social Work & Social Policy				Overall	39.5	15	50	30	5	0
H-0121	Keele University	66	D	28	Modern Languages				Overall	2	15	20	35	30	0
H-0121	Keele University	66	D	29	English Language & Literature				Overall	15	10	40	45	5	0
H-0121	Keele University	66	D	30	History				Overall	19	20	35	30	15	0
H-0121	Keele University	66	D	35	Music, Drama, Dance, Performing Arts				Overall	8	20	45	30	5	0
H-0122	University of Kent	67	A	4	Psychology, Psychiatry & Neuroscience				Overall	39.1	10	30	40	20	0
H-0122	University of Kent	67	A	5	Biological Sciences				Overall	19.4	5	30	40	20	5
H-0122	University of Kent	67	B	7	Earth Systems & Environmental Sciences				Overall	8.41	5	50	35	10	0
H-0122	University of Kent	67	B	9	Physics				Overall	3	0	30	60	10	0
H-0122	University of Kent	67	B	10	Mathematical Sciences				Overall	24	15	40	40	5	0
H-0122	University of Kent	67	B	11	Computer Science & Informatics				Overall	26.7	15	50	30	5	0
H-0122	University of Kent	67	B	13	Elec Engineering, Metallurgy & Materials				Overall	22	25	55	20	0	0
H-0122	University of Kent	67	C	18	Economics & Econometrics				Overall	13	15	60	25	0	0
H-0122	University of Kent	67	C	19	Business & Management Studies				Overall	38.6	10	45	30	15	0
H-0122	University of Kent	67	C	20	Law				Overall	36.5	30	35	25	10	0
H-0122	University of Kent	67	C	21	Politics & International Studies				Overall	21	0	35	40	25	0
H-0122	University of Kent	67	C	22	Social Work & Social Policy				Overall	55.7	30	40	25	5	0
H-0122	University of Kent	67	C	24	Anthropology & Development Studies				Overall	15.7	20	30	30	20	0
H-0122	University of Kent	67	D	28	Modern Languages				Overall	19	5	15	50	25	5
H-0122	University of Kent	67	D	29	English Language & Literature				Overall	18.25	30	35	25	10	0
H-0122	University of Kent	67	D	30	History				Overall	22	35	35	25	5	0
H-0122	University of Kent	67	D	31	Classics				Overall	10	5	5	65	25	0
H-0122	University of Kent	67	D	32	Philosophy				Overall	8	10	25	55	10	0
H-0122	University of Kent	67	D	33	Theology & Religious Studies				Overall	4.5	10	30	30	25	5
H-0122	University of Kent	67	D	35	Music, Drama, Dance, Performing Arts				Overall	24.9	35	35	20	10	0
H-0134	King's College London	68	A	1	Clinical Medicine				Overall	172.9	15	45	35	5	0
H-0134	King's College London	68	A	2	Public Health, Health Services & Primary Care				Overall	38.5	10	40	40	10	0
H-0134	King's College London	68	A	3	Allied Health, Dentistry, Nursing & Pharmacy				Overall	147.21	15	35	30	15	5
H-0134	King's College London	68	A	4	Psychology, Psychiatry & Neuroscience				Overall	214.59	15	40	40	5	0
